,Price,Open,High,Low
2016-07-13,31225.0,31120.0,31260.0,31064.0
2016-07-14,30895.0,31199.0,31199.0,30711.0
2016-07-15,30922.0,30822.0,31038.0,30782.0
2016-07-16,,,,
2016-07-17,,,,
2016-07-18,30950.0,30850.0,31028.0,30810.0
2016-07-19,31021.0,31000.0,31041.0,30871.0
2016-07-20,30666.0,31045.0,31050.0,30631.0
2016-07-21,30940.0,30611.0,30970.0,30553.0
2016-07-22,30794.0,30939.0,30939.0,30730.0
2016-07-23,,,,
2016-07-24,,,,
2016-07-25,30814.0,30701.0,30849.0,30620.0
2016-07-26,30822.0,30796.0,30880.0,30711.0
2016-07-27,30878.0,30786.0,30930.0,30690.0
2016-07-28,30795.0,30928.0,31180.0,30740.0
2016-07-29,31099.0,30943.0,31139.0,30812.0
2016-07-30,,,,
2016-07-31,,,,
2016-08-01,31011.0,31000.0,31118.0,30950.0
2016-08-02,31282.0,31000.0,31322.0,30993.0
2016-08-03,31199.0,31302.0,31439.0,31158.0
2016-08-04,31317.0,31105.0,31360.0,31072.0
2016-08-05,30779.0,31310.0,31380.0,30738.0
2016-08-06,,,,
2016-08-07,,,,
2016-08-08,30998.0,31031.0,31031.0,30863.0
2016-08-09,31133.0,30942.0,31165.0,30891.0
2016-08-10,31219.0,31180.0,31385.0,31120.0
2016-08-11,31171.0,31160.0,31316.0,31082.0
2016-08-12,31080.0,31100.0,31400.0,30990.0
2016-08-13,,,,
2016-08-14,,,,
2016-08-15,,,,
2016-08-16,31349.0,31120.0,31440.0,31120.0
2016-08-17,31314.0,31265.0,31349.0,31185.0
2016-08-18,31411.0,31400.0,31447.0,31302.0
2016-08-19,31365.0,31341.0,31466.0,31252.0
2016-08-20,,,,
2016-08-21,,,,
2016-08-22,31395.0,31310.0,31428.0,31191.0
2016-08-23,31373.0,31372.0,31414.0,31285.0
2016-08-24,31049.0,31319.0,31364.0,31000.0
2016-08-25,30945.0,31042.0,31062.0,30884.0
2016-08-26,31023.0,30967.0,31335.0,30941.0
2016-08-27,,,,
2016-08-28,,,,
2016-08-29,31077.0,31000.0,31115.0,30876.0
2016-08-30,30840.0,31069.0,31069.0,30820.0
2016-08-31,30746.0,30891.0,30906.0,30711.0
2016-09-01,30710.0,30757.0,30822.0,30611.0
2016-09-02,30900.0,30800.0,30971.0,30610.0
2016-09-03,,,,
2016-09-04,,,,
2016-09-05,31025.0,31000.0,31060.0,30960.0
2016-09-06,31401.0,31055.0,31431.0,30968.0
2016-09-07,31336.0,31444.0,31482.0,31280.0
2016-09-08,31239.0,31313.0,31410.0,31188.0
2016-09-09,31261.0,31256.0,31335.0,31166.0
2016-09-10,,,,
2016-09-11,,,,
2016-09-12,31087.0,31332.0,31332.0,31041.0
2016-09-13,31141.0,31130.0,31218.0,31087.0
2016-09-14,31100.0,31100.0,31159.0,31066.0
2016-09-15,30950.0,31149.0,31249.0,30850.0
2016-09-16,30851.0,30930.0,30961.0,30831.0
2016-09-17,,,,
2016-09-18,,,,
2016-09-19,30936.0,30941.0,31010.0,30915.0
2016-09-20,30892.0,30989.0,31027.0,30847.0
2016-09-21,31207.0,30948.0,31235.0,30800.0
2016-09-22,31335.0,31284.0,31373.0,31181.0
2016-09-23,31288.0,31271.0,31334.0,31220.0
2016-09-24,,,,
2016-09-25,,,,
2016-09-26,31351.0,31251.0,31369.0,31224.0
2016-09-27,31003.0,31290.0,31290.0,30986.0
2016-09-28,30963.0,31002.0,31051.0,30882.0
2016-09-29,31224.0,30951.0,31243.0,30950.0
2016-09-30,30814.0,31119.0,31287.0,30767.0
2016-10-01,,,,
2016-10-02,,,,
2016-10-03,30749.0,30841.0,31000.0,30695.0
2016-10-04,30068.0,30705.0,30872.0,30030.0
2016-10-05,30004.0,30215.0,30350.0,29925.0
2016-10-06,29615.0,29861.0,29982.0,29582.0
2016-10-07,29591.0,29700.0,29898.0,29355.0
2016-10-08,,,,
2016-10-09,,,,
2016-10-10,29662.0,29700.0,29900.0,29634.0
2016-10-11,29712.0,29611.0,29776.0,29611.0
